host,description,principal name,principal type,local username,keytab file path,keytab file owner,keytab file owner access,keytab file group,keytab file group access,keytab file mode,keytab file installed
hdp01.example.com,datanode_dn,dn/hdp01.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/dn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp02.example.com,datanode_dn,dn/hdp02.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/dn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp03.example.com,datanode_dn,dn/hdp03.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/dn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp04.example.com,datanode_dn,dn/hdp04.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/dn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp05.example.com,datanode_dn,dn/hdp05.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/dn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp06.example.com,datanode_dn,dn/hdp06.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/dn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp07.example.com,datanode_dn,dn/hdp07.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/dn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp01.example.com,hbase_regionserver_hbase,hbase/hdp01.example.com@EXAMPLE.COM,SERVICE,hbase,/etc/security/keytabs/hbase.service.keytab,hbase,r,hadoop,,400,unknown
hdp02.example.com,hbase_regionserver_hbase,hbase/hdp02.example.com@EXAMPLE.COM,SERVICE,hbase,/etc/security/keytabs/hbase.service.keytab,hbase,r,hadoop,,400,unknown
hdp03.example.com,hbase_regionserver_hbase,hbase/hdp03.example.com@EXAMPLE.COM,SERVICE,hbase,/etc/security/keytabs/hbase.service.keytab,hbase,r,hadoop,,400,unknown
hdp04.example.com,hbase_regionserver_hbase,hbase/hdp04.example.com@EXAMPLE.COM,SERVICE,hbase,/etc/security/keytabs/hbase.service.keytab,hbase,r,hadoop,,400,unknown
hdp05.example.com,hbase_regionserver_hbase,hbase/hdp05.example.com@EXAMPLE.COM,SERVICE,hbase,/etc/security/keytabs/hbase.service.keytab,hbase,r,hadoop,,400,unknown
hdp06.example.com,hbase_regionserver_hbase,hbase/hdp06.example.com@EXAMPLE.COM,SERVICE,hbase,/etc/security/keytabs/hbase.service.keytab,hbase,r,hadoop,,400,unknown
hdp07.example.com,hbase_master_hbase,hbase/hdp07.example.com@EXAMPLE.COM,SERVICE,hbase,/etc/security/keytabs/hbase.service.keytab,hbase,r,hadoop,,400,unknown
hdp01.example.com,hbase,hbase@EXAMPLE.COM,USER,hbase,/etc/security/keytabs/hbase.headless.keytab,hbase,r,hadoop,r,440,unknown
hdp02.example.com,hbase,hbase@EXAMPLE.COM,USER,hbase,/etc/security/keytabs/hbase.headless.keytab,hbase,r,hadoop,r,440,unknown
hdp03.example.com,hbase,hbase@EXAMPLE.COM,USER,hbase,/etc/security/keytabs/hbase.headless.keytab,hbase,r,hadoop,r,440,unknown
hdp04.example.com,hbase,hbase@EXAMPLE.COM,USER,hbase,/etc/security/keytabs/hbase.headless.keytab,hbase,r,hadoop,r,440,unknown
hdp05.example.com,hbase,hbase@EXAMPLE.COM,USER,hbase,/etc/security/keytabs/hbase.headless.keytab,hbase,r,hadoop,r,440,unknown
hdp06.example.com,hbase,hbase@EXAMPLE.COM,USER,hbase,/etc/security/keytabs/hbase.headless.keytab,hbase,r,hadoop,r,440,unknown
hdp07.example.com,hbase,hbase@EXAMPLE.COM,USER,hbase,/etc/security/keytabs/hbase.headless.keytab,hbase,r,hadoop,r,440,unknown
hdp02.example.com,hdfs,hdfs@EXAMPLE.COM,USER,hdfs,/etc/security/keytabs/hdfs.headless.keytab,hdfs,r,hadoop,r,440,unknown
hdp03.example.com,/HDFS/NAMENODE/hdfs,hdfs@EXAMPLE.COM,USER,hdfs,/etc/security/keytabs/hdfs.headless.keytab,hdfs,r,hadoop,r,440,unknown
hdp04.example.com,/HDFS/NAMENODE/hdfs,hdfs@EXAMPLE.COM,USER,hdfs,/etc/security/keytabs/hdfs.headless.keytab,hdfs,r,hadoop,r,440,unknown
hdp05.example.com,/HDFS/NAMENODE/hdfs,hdfs@EXAMPLE.COM,USER,hdfs,/etc/security/keytabs/hdfs.headless.keytab,hdfs,r,hadoop,r,440,unknown
hdp06.example.com,/HDFS/NAMENODE/hdfs,hdfs@EXAMPLE.COM,USER,hdfs,/etc/security/keytabs/hdfs.headless.keytab,hdfs,r,hadoop,r,440,unknown
hdp07.example.com,/HDFS/NAMENODE/hdfs,hdfs@EXAMPLE.COM,USER,hdfs,/etc/security/keytabs/hdfs.headless.keytab,hdfs,r,hadoop,r,440,unknown
hdp01.example.com,/HIVE/HIVE_SERVER/hive_server_hive,hive/hdp01.example.com@EXAMPLE.COM,SERVICE,hive,/etc/security/keytabs/hive.service.keytab,hive,r,hadoop,r,440,unknown
hdp01.example.com,llap_zk_hive,hive/hdp01.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/hive.llap.zk.sm.keytab,yarn,r,hadoop,r,440,unknown
hdp02.example.com,/HIVE/HIVE_SERVER/hive_server_hive,hive/hdp02.example.com@EXAMPLE.COM,SERVICE,hive,/etc/security/keytabs/hive.service.keytab,hive,r,hadoop,r,440,unknown
hdp02.example.com,llap_zk_hive,hive/hdp02.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/hive.llap.zk.sm.keytab,yarn,r,hadoop,r,440,unknown
hdp03.example.com,/HIVE/HIVE_SERVER/hive_server_hive,hive/hdp03.example.com@EXAMPLE.COM,SERVICE,hive,/etc/security/keytabs/hive.service.keytab,hive,r,hadoop,r,440,unknown
hdp03.example.com,llap_zk_hive,hive/hdp03.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/hive.llap.zk.sm.keytab,yarn,r,hadoop,r,440,unknown
hdp04.example.com,/HIVE/HIVE_SERVER/hive_server_hive,hive/hdp04.example.com@EXAMPLE.COM,SERVICE,hive,/etc/security/keytabs/hive.service.keytab,hive,r,hadoop,r,440,unknown
hdp04.example.com,llap_zk_hive,hive/hdp04.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/hive.llap.zk.sm.keytab,yarn,r,hadoop,r,440,unknown
hdp05.example.com,/HIVE/HIVE_SERVER/hive_server_hive,hive/hdp05.example.com@EXAMPLE.COM,SERVICE,hive,/etc/security/keytabs/hive.service.keytab,hive,r,hadoop,r,440,unknown
hdp05.example.com,llap_zk_hive,hive/hdp05.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/hive.llap.zk.sm.keytab,yarn,r,hadoop,r,440,unknown
hdp06.example.com,hive_server_hive,hive/hdp06.example.com@EXAMPLE.COM,SERVICE,hive,/etc/security/keytabs/hive.service.keytab,hive,r,hadoop,r,440,unknown
hdp06.example.com,llap_zk_hive,hive/hdp06.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/hive.llap.zk.sm.keytab,yarn,r,hadoop,r,440,unknown
hdp07.example.com,/HIVE/HIVE_SERVER/hive_server_hive,hive/hdp07.example.com@EXAMPLE.COM,SERVICE,hive,/etc/security/keytabs/hive.service.keytab,hive,r,hadoop,r,440,unknown
hdp07.example.com,llap_zk_hive,hive/hdp07.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/hive.llap.zk.sm.keytab,yarn,r,hadoop,r,440,unknown
hdp01.example.com,infra-solr,infra-solr/hdp01.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/ambari-infra-solr.service.keytab,infra-solr,r,hadoop,,400,unknown
hdp05.example.com,history_server_jhs,jhs/hdp05.example.com@EXAMPLE.COM,SERVICE,mapred,/etc/security/keytabs/jhs.service.keytab,mapred,r,hadoop,,400,unknown
hdp05.example.com,journalnode_jn,jn/hdp05.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/jn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp06.example.com,journalnode_jn,jn/hdp06.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/jn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp07.example.com,journalnode_jn,jn/hdp07.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/jn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp01.example.com,kafka_broker,kafka/hdp01.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/kafka.service.keytab,kafka,r,hadoop,,400,unknown
hdp02.example.com,kafka_broker,kafka/hdp02.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/kafka.service.keytab,kafka,r,hadoop,,400,unknown
hdp05.example.com,kafka_broker,kafka/hdp05.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/kafka.service.keytab,kafka,r,hadoop,,400,unknown
hdp01.example.com,knox_principal,knox/hdp01.example.com@EXAMPLE.COM,SERVICE,knox,/etc/security/keytabs/knox.service.keytab,knox,r,hadoop,,400,unknown
hdp04.example.com,livyuser,livy/hdp04.example.com@EXAMPLE.COM,SERVICE,livy,/etc/security/keytabs/livy.service.keytab,livy,r,hadoop,,400,unknown
hdp05.example.com,livyuser,livy/hdp05.example.com@EXAMPLE.COM,SERVICE,livy,/etc/security/keytabs/livy.service.keytab,livy,r,hadoop,,400,unknown
hdp07.example.com,livyuser,livy/hdp07.example.com@EXAMPLE.COM,SERVICE,livy,/etc/security/keytabs/livy.service.keytab,livy,r,hadoop,,400,unknown
hdp04.example.com,nfsgateway,nfs/hdp04.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/nfs.service.keytab,hdfs,r,hadoop,,400,unknown
hdp05.example.com,nfsgateway,nfs/hdp05.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/nfs.service.keytab,hdfs,r,hadoop,,400,unknown
hdp01.example.com,nodemanager_nm,nm/hdp01.example.com@EXAMPLE.COM,SERVICE,yarn,/etc/security/keytabs/nm.service.keytab,yarn,r,hadoop,,400,unknown
hdp02.example.com,nodemanager_nm,nm/hdp02.example.com@EXAMPLE.COM,SERVICE,yarn,/etc/security/keytabs/nm.service.keytab,yarn,r,hadoop,,400,unknown
hdp03.example.com,nodemanager_nm,nm/hdp03.example.com@EXAMPLE.COM,SERVICE,yarn,/etc/security/keytabs/nm.service.keytab,yarn,r,hadoop,,400,unknown
hdp04.example.com,nodemanager_nm,nm/hdp04.example.com@EXAMPLE.COM,SERVICE,yarn,/etc/security/keytabs/nm.service.keytab,yarn,r,hadoop,,400,unknown
hdp05.example.com,nodemanager_nm,nm/hdp05.example.com@EXAMPLE.COM,SERVICE,yarn,/etc/security/keytabs/nm.service.keytab,yarn,r,hadoop,,400,unknown
hdp06.example.com,nodemanager_nm,nm/hdp06.example.com@EXAMPLE.COM,SERVICE,yarn,/etc/security/keytabs/nm.service.keytab,yarn,r,hadoop,,400,unknown
hdp07.example.com,nodemanager_nm,nm/hdp07.example.com@EXAMPLE.COM,SERVICE,yarn,/etc/security/keytabs/nm.service.keytab,yarn,r,hadoop,,400,unknown
hdp02.example.com,namenode_nn,nn/hdp02.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/nn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp03.example.com,namenode_nn,nn/hdp03.example.com@EXAMPLE.COM,SERVICE,hdfs,/etc/security/keytabs/nn.service.keytab,hdfs,r,hadoop,,400,unknown
hdp07.example.com,oozie_server,oozie/hdp07.example.com@EXAMPLE.COM,SERVICE,oozie,/etc/security/keytabs/oozie.service.keytab,oozie,r,hadoop,,400,unknown
hdp01.example.com,rangeradmin,rangeradmin/hdp01.example.com@EXAMPLE.COM,SERVICE,ranger,/etc/security/keytabs/rangeradmin.service.keytab,ranger,r,,,400,unknown
hdp01.example.com,rangerkms,rangerkms/hdp01.example.com@EXAMPLE.COM,SERVICE,keyadmin,/etc/security/keytabs/rangerkms.service.keytab,kms,r,,,400,unknown
hdp01.example.com,rangerlookup,rangerlookup/hdp01.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/rangerlookup.service.keytab,ranger,r,,,400,unknown
hdp07.example.com,rangertagsync,rangertagsync/hdp07.example.com@EXAMPLE.COM,SERVICE,rangertagsync,/etc/security/keytabs/rangertagsync.service.keytab,ranger,r,,,400,unknown
hdp01.example.com,rangerusersync,rangerusersync/hdp01.example.com@EXAMPLE.COM,SERVICE,rangerusersync,/etc/security/keytabs/rangerusersync.service.keytab,ranger,r,,,400,unknown
hdp04.example.com,resource_manager_rm,rm/hdp04.example.com@EXAMPLE.COM,SERVICE,yarn,/etc/security/keytabs/rm.service.keytab,yarn,r,hadoop,,400,unknown
hdp05.example.com,resource_manager_rm,rm/hdp05.example.com@EXAMPLE.COM,SERVICE,yarn,/etc/security/keytabs/rm.service.keytab,yarn,r,hadoop,,400,unknown
hdp04.example.com,sparkuser,spark@EXAMPLE.COM,USER,spark,/etc/security/keytabs/spark.headless.keytab,spark,r,hadoop,,400,unknown
hdp05.example.com,sparkuser,spark@EXAMPLE.COM,USER,spark,/etc/security/keytabs/spark.headless.keytab,spark,r,hadoop,,400,unknown
hdp07.example.com,sparkuser,spark@EXAMPLE.COM,USER,spark,/etc/security/keytabs/spark.headless.keytab,spark,r,hadoop,,400,unknown
hdp04.example.com,app_timeline_server_yarn,yarn/hdp04.example.com@EXAMPLE.COM,SERVICE,yarn,/etc/security/keytabs/yarn.service.keytab,yarn,r,hadoop,,400,unknown
hdp05.example.com,zookeeper_zk,zookeeper/hdp05.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/zk.service.keytab,zookeeper,r,hadoop,,400,unknown
hdp06.example.com,zookeeper_zk,zookeeper/hdp06.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/zk.service.keytab,zookeeper,r,hadoop,,400,unknown
hdp07.example.com,zookeeper_zk,zookeeper/hdp07.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/zk.service.keytab,zookeeper,r,hadoop,,400,unknown
